"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 3, 13, 74
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\google-services.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\constants\color_constants.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\constants\style_constants.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\main.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\models\chat_model.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\models\user_model.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\providers\auth_provider.dart", "Dart", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 2, 13, 105
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\providers\chat_provider.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\providers\home_provider.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\utils\storage_handler.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\screens\chat_screen.dart", "Dart", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 1, 16, 369
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\screens\home_screen.dart", "Dart", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 32, 11, 197
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\screens\sign_in_screen.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 4, 107
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\screens\splash_screen.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 7, 59
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\widgets\app_bar_button.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\widgets\bottom_sheet_item.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\widgets\chat_app_bar_content.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 5, 114
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\lib\views\widgets\home_app_bar_content.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 56, 16, 96
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\web\index.html", "HTML", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"e:\ShodaiMama Projects - Sharif\Projects\chat_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 408, 227, 80, 1193, 13, 27, 123, 12, 94, 8, 273, 325, 2783